category,businesses,food_businesses,food_share,is_food_related
Telecommunications,397,0,0.000000,0
Hospitals,395,4,0.010127,0
Laser Hair Removal,394,0,0.000000,0
Dry Cleaning,382,1,0.002618,0
Noodles,382,382,1.000000,1
Arcades,378,133,0.351852,0
Permanent Makeup,377,0,0.000000,0
Office Cleaning,373,2,0.005362,0
Outdoor Gear,369,8,0.021680,0
Piercing,368,2,0.005435,0
Cosmetic Surgeons,367,2,0.005450,0
Kids Activities,367,55,0.149864,0
Lawyers,363,3,0.008264,0
Masonry/Concrete,363,0,0.000000,0
Mortgage Brokers,363,0,0.000000,0
Halal,362,362,1.000000,1
Cinema,359,32,0.089136,0
Session Photography,357,1,0.002801,0
Street Vendors,357,357,1.000000,1
Candy Stores,356,356,1.000000,1
Handyman,356,0,0.000000,0
Internet Service Providers,356,2,0.005618,0
Damage Restoration,353,2,0.005666,0
Windshield Installation & Repair,352,1,0.002841,0
Jewelry Repair,347,1,0.002882,0
Preschools,344,4,0.011628,0
Wineries,342,342,1.000000,1
Chocolatiers & Shops,339,339,1.000000,1
Computers,339,5,0.014749,0
Mailbox Centers,339,3,0.008850,0
Boot Camps,337,1,0.002967,0
Seafood Markets,337,337,1.000000,1
Dermatologists,336,1,0.002976,0
Lighting Fixtures & Equipment,336,1,0.002976,0
Spray Tanning,332,2,0.006024,0
Watches,329,2,0.006079,0
Airport Shuttles,328,5,0.015244,0
Post Offices,327,2,0.006116,0
Event Photography,325,0,0.000000,0
Karaoke,325,200,0.615385,0
Bed & Breakfast,324,67,0.206790,0
Keys & Locksmiths,323,3,0.009288,0
Gutter Services,320,0,0.000000,0
Nail Technicians,320,2,0.006250,0
Couriers & Delivery Services,317,18,0.056782,0
Sports Clubs,314,15,0.047771,0
Pressure Washers,313,1,0.003195,0
Art Supplies,311,5,0.016077,0
Auto Customization,311,3,0.009646,0
Obstetricians & Gynecologists,311,0,0.000000,0
Wraps,310,310,1.000000,1
Party Supplies,309,36,0.116505,0
Carpeting,304,0,0.000000,0
Wheel & Rim Repair,303,1,0.003300,0
Landmarks & Historical Buildings,302,20,0.066225,0
Pool & Hot Tub Service,301,0,0.000000,0
Shopping Centers,297,99,0.333333,0
Bike Rentals,296,8,0.027027,0
Custom Cakes,296,296,1.000000,1
Pilates,294,5,0.017007,0
Limos,293,15,0.051195,0
Organic Stores,292,292,1.000000,1
Sports Medicine,289,1,0.003460,0
Boating,287,20,0.069686,0
Security Systems,287,3,0.010453,0
Home Inspectors,286,0,0.000000,0
Religious Organizations,286,25,0.087413,0
Spanish,286,286,1.000000,1
Dog Walkers,284,0,0.000000,0
Cuban,283,283,1.000000,1
Amusement Parks,279,23,0.082437,0
Formal Wear,279,1,0.003584,0
Coffee Roasteries,278,278,1.000000,1
Swimming Pools,278,15,0.053957,0
Door Sales/Installation,277,0,0.000000,0
Musical Instruments & Teachers,277,2,0.007220,0
Wholesale Stores,274,125,0.456204,0
Bike Repair/Maintenance,273,13,0.047619,0
Laboratory Testing,272,1,0.003676,0
Shaved Ice,272,272,1.000000,1
Air Duct Cleaning,271,1,0.003690,0
Travel Services,270,17,0.062963,0
Packing Services,269,1,0.003717,0
Acai Bowls,268,268,1.000000,1
Playgrounds,266,13,0.048872,0
Shades & Blinds,266,0,0.000000,0
Martial Arts,265,1,0.003774,0
Canadian (New),261,261,1.000000,1
Office Equipment,261,13,0.049808,0
Hot Tub & Pool,257,0,0.000000,0
Floral Designers,256,13,0.050781,0
Shoe Repair,256,1,0.003906,0
Gardeners,254,7,0.027559,0
Vitamins & Supplements,253,144,0.569170,0
Cards & Stationery,252,14,0.055556,0
Pediatricians,252,2,0.007937,0
Taxis,250,7,0.028000,0
Car Stereo Installation,245,1,0.004082,0
Guns & Ammo,245,1,0.004082,0
Recreation Centers,244,10,0.040984,0
Parking,243,7,0.028807,0
Baby Gear & Furniture,242,3,0.012397,0
Art Classes,241,10,0.041494,0
Watch Repair,241,0,0.000000,0
Landscape Architects,239,4,0.016736,0
Graphic Design,238,2,0.008403,0
Tiling,236,0,0.000000,0
Hookah Bars,235,157,0.668085,0
Music & DVDs,232,10,0.043103,0
Summer Camps,232,5,0.021552,0
Window Washing,232,0,0.000000,0
Car Window Tinting,228,1,0.004386,0
Pakistani,228,228,1.000000,1
Tea Rooms,228,228,1.000000,1
Motorcycle Dealers,226,4,0.017699,0
Tapas Bars,226,226,1.000000,1
Counseling & Mental Health,225,6,0.026667,0
Orthopedists,225,0,0.000000,0
Ramen,223,223,1.000000,1
Elementary Schools,222,2,0.009009,0
Glass & Mirrors,222,0,0.000000,0
Rehabilitation Center,222,0,0.000000,0
Naturopathic/Holistic,221,16,0.072398,0
Smog Check Stations,220,4,0.018182,0
Adult Entertainment,218,42,0.192661,0
Churches,218,9,0.041284,0
Internal Medicine,218,1,0.004587,0
Cabinetry,216,0,0.000000,0
Irish,215,215,1.000000,1
Hiking,211,3,0.014218,0
Poke,210,210,1.000000,1
Irrigation,207,2,0.009662,0
Libraries,207,2,0.009662,0
Pool Cleaners,207,0,0.000000,0
Truck Rental,206,2,0.009709,0
International Grocery,205,205,1.000000,1
Motorcycle Repair,204,0,0.000000,0
Signmaking,204,1,0.004902,0
Interval Training Gyms,203,0,0.000000,0
Fish & Chips,202,202,1.000000,1
Dance Studios,201,2,0.009950,0
Head Shops,201,28,0.139303,0
Imported Food,201,201,1.000000,1
Lingerie,201,0,0.000000,0
Reiki,201,2,0.009950,0
Fences & Gates,200,0,0.000000,0
Auto Insurance,198,0,0.000000,0
Laundromat,198,2,0.010101,0
Framing,197,1,0.005076,0
Gelato,197,197,1.000000,1
Medical Supplies,197,7,0.035533,0
Bowling,195,52,0.266667,0
Party Equipment Rentals,194,15,0.077320,0
Pasta Shops,193,193,1.000000,1
Laser Eye Surgery/Lasik,191,0,0.000000,0
Waffles,190,190,1.000000,1
Brewpubs,186,186,1.000000,1
Videos & Video Game Rental,186,10,0.053763,0
Beer Gardens,185,161,0.870270,1
Hawaiian,185,185,1.000000,1
Butcher,182,182,1.000000,1
Outlet Stores,182,21,0.115385,0
Siding,180,0,0.000000,0
Financial Advising,179,1,0.005587,0
Jazz & Blues,178,115,0.646067,0
Colleges & Universities,177,6,0.033898,0
Diagnostic Imaging,176,1,0.005682,0
Auto Loan Providers,175,1,0.005714,0
Escape Games,175,4,0.022857,0
Fabric Stores,175,1,0.005714,0
Musical Instrument Services,174,0,0.000000,0
Traditional Chinese Medicine,174,11,0.063218,0
Resorts,173,32,0.184971,0
Garage Door Services,172,2,0.011628,0
Pool Halls,171,74,0.432749,0
Dog Parks,170,5,0.029412,0
Packing Supplies,170,0,0.000000,0
Pet Adoption,168,15,0.089286,0
Funeral Services & Cemeteries,166,2,0.012048,0
Personal Shopping,166,22,0.132530,0
Creperies,165,165,1.000000,1
Furniture Reupholstery,163,2,0.012270,0
Roadside Assistance,163,2,0.012270,0
Snow Removal,162,1,0.006173,0
Recycling Center,161,4,0.024845,0
Home Window Tinting,159,0,0.000000,0
Television Service Providers,159,0,0.000000,0
Barre Classes,158,2,0.012658,0
Fishing,158,10,0.063291,0
Home Organization,157,2,0.012739,0
Irish Pub,157,125,0.796178,0
Lawn Services,156,2,0.012821,0
Mass Media,156,5,0.032051,0
Countertop Installation,155,1,0.006452,0
Threading Services,154,1,0.006494,0
Gun/Rifle Ranges,153,3,0.019608,0
Pretzels,153,153,1.000000,1
Cheese Shops,151,151,1.000000,1
Drywall Installation & Repair,151,0,0.000000,0
Rugs,151,0,0.000000,0
Home & Rental Insurance,150,0,0.000000,0
Animal Shelters,149,1,0.006711,0
Cardio Classes,149,1,0.006711,0
Wine Tasting Room,149,149,1.000000,1
Comic Books,148,4,0.027027,0
Refinishing Services,148,0,0.000000,0
